id,lat,lon,name,REGION_C
1314,1.2826777521013573,103.6907683826178,Western Islands-Jurong Island And Bukom,WR
940,1.3948181362305558,103.9833621136823,,
1315,1.2899126487600847,103.69076798110504,Western Islands-Jurong Island And Bukom,WR
1316,1.2971475450057663,103.69076757733205,,
1317,1.3043824408360878,103.69076717129877,Boon Lay-Shipyard,WR
1318,1.311617336248733,103.6907667630052,Boon Lay-Shipyard,WR
1319,1.3188522312413873,103.69076635245126,Pioneer-Benoi Sector,WR
1320,1.3260871258117355,103.69076593963695,Pioneer-Joo Koon,WR
1321,1.333322019957463,103.69076552456225,Jurong West-Kian Teck,WR
1322,1.3405569136762545,103.6907651072271,Jurong West-Yunnan,WR
1323,1.347791806965795,103.69076468763147,Western Water Catchment-Cleantech,WR
1324,1.3550266998237699,103.69076426577534,Western Water Catchment-Cleantech,WR
1325,1.3622615922478647,103.69076384165868,Western Water Catchment-Murai,WR
1326,1.3694964842357638,103.69076341528142,Western Water Catchment-Murai,WR
1327,1.3767313757851527,103.69076298664356,Western Water Catchment-Murai,WR
1328,1.3839662668937165,103.69076255574508,Western Water Catchment-Murai,WR
1329,1.3912011575591403,103.69076212258592,Western Water Catchment-Murai,WR
1330,1.3984360477791098,103.69076168716605,Western Water Catchment-Murai,WR
1331,1.4056709375513106,103.69076124948542,Western Water Catchment-Murai,WR
1332,1.4129058268734263,103.69076080954403,Western Water Catchment-Murai,WR
1333,1.4201407157431445,103.69076036734182,Western Water Catchment-Murai,WR
1334,1.4273756041581493,103.69075992287877,Western Water Catchment-Murai,WR
349,1.4346104921161267,103.69075947615484,,
1335,1.4346104921161267,103.69075947615484,,
941,1.307998671074683,103.9958073842571,,
942,1.3152335595409295,103.9958078508514,Changi-Changi Airport,ER
943,1.322468447585991,103.9958083200217,Changi-Changi Airport,ER
944,1.329703335207551,103.995808791768,Changi-Changi Airport,ER
945,1.336938222403296,103.99580926609038,Changi-Changi Airport,ER
946,1.3441731091709086,103.99580974298885,Changi-Changi Airport,ER
947,1.3514079955080762,103.99581022246346,Changi-Changi Airport,ER
948,1.358642881412482,103.99581070451426,Changi-Changi Airport,ER
1336,1.253738813819311,103.70322031295431,Western Islands-Jurong Island And Bukom,WR
949,1.365877766881812,103.99581118914125,Changi-Changi Airport,ER
1337,1.260973715873227,103.70321995475736,Western Islands-Jurong Island And Bukom,WR
950,1.37311265191375,103.9958116763445,Changi-Changi Airport,ER
1338,1.2682086175233775,103.70321959449767,Western Islands-Jurong Island And Bukom,WR
